Feature,count,mean,std,min,25%,50%,75%,max
Speed (mm/s),67,104.48,21.73,75,100,100,100,150
Flowrate (Hz),67,35.30,2.12,31,35,35,35,39
Total Print Height (mm),67,90.71,27.41,37.9133,56.1256,107.17,109.91,115.79
Layer 1 Height (mm),67,6.91,3.13,0,4.9557,7.23,9.87,11.07
Layer 2 Height (mm),67,10.91,0.75,8.5628,10.36065,10.68,11.38,12.69
Layer 3 Height (mm),67,11.32,0.66,8.7073,11.01685,11.37,11.55,13.35
Layer 4 Height (mm),67,11.40,0.73,9.261,10.9552,11.48,11.82,13.99
Layer 5 Height (mm),67,11.51,0.67,9.7365,11.036525,11.59,11.83,13.54
Layer 6 Height (mm),67,7.53,5.32,0,0,10.93,11.38,12.05
Layer 7 Height (mm),67,7.46,5.28,0,0,10.64,11.41,12.43
Layer 8 Height (mm),67,7.70,5.43,0,0,11.28,11.48,12.40
Layer 9 Height (mm),67,7.75,5.49,0,0,11.02,11.84,13.14
Layer 10 Height (mm),67,8.39,5.93,0,0,12.05,12.82,13.71
Designed Angle (deg),67,9.55,15.32,0,0,0,20,40
Actual Angle (deg),67,9.07,14.85,0,0,0,15.354,41.553
Max Span (mm),67,15.67,2.08,14,15,15,15,20
layer_var,67,2.933225044,2.154839995,0.440587009,0.609003109,2.174313069,5.341850249,6.461003139
total_height_deviation,67,13.77066866,4.51782455,3.731,10.488,14.8036,17.3186,24.5867
Angle_dev (deg),67,0.740746269,3.771034993,0,0,0,0.1585,29.643
num_layers,67,8.343283582,2.390335584,4,5,10,10,10
expected_total_height,67,104.2910448,29.87919481,50,62.5,125,125,125
measured_total_height,67,90.70694328,27.40647633,37.9133,56.1256,107.1713,109.90875,115.7898
total_print_deviation,67,13.58410149,4.318083678,3.731,10.488,14.4337,16.2888,21.7788
deposition_ratio,67,0.351353234,0.070510211,0.233333333,0.312,0.35,0.39,0.466666667
Layer 1 Deviation (mm),67,5.593429851,3.125273241,1.4257,2.62745,5.2654,7.5443,12.5
Layer 2 Deviation (mm),67,1.599289552,0.722178452,0.0209,1.1155,1.8166,2.13935,3.9372
Layer 3 Deviation (mm),67,1.213128358,0.594521369,0.0264,0.95205,1.1318,1.48315,3.7927
Layer 4 Deviation (mm),67,1.159173134,0.625639546,0.0422,0.7486,1.0464,1.5448,3.239
Layer 5 Deviation (mm),66,1.057636364,0.548853178,0.0707,0.69575,0.9117,1.463475,2.7635
Layer 6 Deviation (mm),67,0.87031194,0.767209538,0,0,0.9751,1.4089,3.7702
Layer 7 Deviation (mm),67,0.938653731,0.83380257,0,0,1.0218,1.6552,3.6029
Layer 8 Deviation (mm),67,0.697295522,0.583602612,0,0,0.8656,1.09885,1.7889
Layer 9 Deviation (mm),67,0.677352239,0.676202805,0,0,0.5636,1.30785,2.9313
Layer 10 Deviation (mm),67,0.312040299,0.304705684,0,0,0.2892,0.5236,1.2517
layer_height_cv,67,16.92545921,11.08009153,3.36988954,5.023828199,14.12907613,27.24075693,38.53554039
