Speed (mm/s),Flowrate (Hz),Total Print Height (mm),Layer 1 Height (mm),Layer 2 Height (mm),Layer 3 Height (mm),Layer 4 Height (mm),Layer 5 Height (mm),Layer 6 Height (mm),Layer 7 Height (mm),Layer 8 Height (mm),Layer 9 Height (mm),Layer 10 Height (mm),Designed Angle (deg),Actual Angle (deg),Angle_dev (deg),layer_var,total_height_deviation,Max Span (mm),num_layers,expected_total_height,measured_total_height,total_print_deviation,deposition_ratio,Layer 1 Deviation (mm),Layer 2 Deviation (mm),Layer 3 Deviation (mm),Layer 4 Deviation (mm),Layer 5 Deviation (mm),Layer 6 Deviation (mm),Layer 7 Deviation (mm),Layer 8 Deviation (mm),Layer 9 Deviation (mm),Layer 10 Deviation (mm),layer_height_cv
75,35,106.7048,1.9352,10.0724,11.2861,11.2863,12.1057,12.0478,11.4972,12.3992,12.0007,12.0742,0,0,0,3.288256186,18.2952,15,10,125,106.7048,18.2952,0.466666667,10.5648,2.4276,1.2139,1.2137,0.3943,0.4522,1.0028,0.1008,0.4993,0.4258,29.4358261
75,35,107.9695,5.0072,10.9927,11.2936,11.2893,11.6298,10.9991,11.7209,11.4802,12.3084,11.2483,0,0,0,2.174313069,17.0305,15,10,125,107.9695,17.0305,0.466666667,7.4928,1.5073,1.2064,1.2107,0.8702,1.5009,0.7791,1.0198,0.1916,1.2517,19.17896744
75,35,106.044,0,10.2591,11.6922,12.0619,11.1992,11.5683,12.4306,11.4592,12.2763,13.0972,0,0,0,4.028723914,18.956,15,10,125,106.044,18.956,0.466666667,12.5,2.2409,0.8078,0.4381,1.3008,0.9317,0.0694,1.0408,0.2237,0.5972,35.87249218
75,35,103.6648,0,10.3328,12.5962,11.9681,11.1818,9.9079,10.6151,12.0308,12.7281,12.304,0,0,0,3.989068194,21.3352,15,10,125,103.6648,21.3352,0.466666667,12.5,2.1672,0.0962,0.5319,1.3182,2.5921,1.8849,0.4692,0.2281,0.196,36.38481253
75,35,106.2228,2.4301,10.2433,11.455,10.9347,11.6283,11.2812,10.5878,11.4553,12.496,13.7111,0,0,0,3.203805107,18.7772,15,10,125,106.2228,18.7772,0.466666667,10.0699,2.2567,1.045,1.5653,0.8717,1.2188,1.9122,1.0447,0.004,1.2111,28.63028321
75,35,113.1078,4.1652,11.6298,11.4552,11.975,12.1497,10.9346,12.3233,12.149,13.1357,13.1903,0,0,0,2.744931317,11.8922,15,10,125,113.1078,11.8922,0.466666667,8.3348,0.8702,1.0448,0.525,0.3503,1.5654,0.1767,0.351,0.6357,0.6903,23.02828702
75,35,105.6741,0,10.3586,11.3972,11.4792,11.2083,11.629,12.037,11.6344,12.8386,13.0918,0,0,0,4.017835472,19.3259,15,10,125,105.6741,19.3259,0.466666667,12.5,2.1414,1.1028,1.0208,1.2917,0.871,0.463,0.8656,0.3386,0.5918,35.90982978
75,35,106.271,2.8568,11.61,11.4826,10.3475,11.6662,11.29,10.8628,10.7745,12.3799,13.0007,0,0,0,2.98447532,18.729,15,10,125,106.271,18.729,0.466666667,9.6432,0.89,1.0174,2.1525,0.8338,1.21,1.6372,1.7255,0.1201,0.5007,26.69946017
75,35,107.1713,1.4545,10.3771,11.3682,11.2777,12.1538,11.9255,11.3769,12.1974,12.0357,13.0045,0,0,0,3.49066742,17.8287,15,10,125,107.1713,17.8287,0.466666667,11.0455,2.1229,1.1318,1.2223,0.3462,0.5745,1.1231,0.3026,0.4643,0.5045,31.06728789
75,35,105.2192,2.451,10.3683,11.2639,11.4465,11.2098,10.9936,11.8368,11.2571,12.0368,12.3554,0,0,0,3.055007103,19.7808,15,10,125,105.2192,19.7808,0.466666667,10.049,2.1317,1.2361,1.0535,1.2902,1.5064,0.6632,1.2429,0.4632,0.1446,27.47037975
75,35,105.9222,1.4682,10.5463,11.5274,12.2895,11.0415,11.1902,12.0081,11.0002,11.8257,13.0251,0,0,0,3.481232981,19.0778,15,10,125,105.9222,19.0778,0.466666667,11.0318,1.9537,0.9726,0.2105,1.4585,1.3098,0.4919,1.4998,0.6743,0.5251,31.02212806
75,35,103.2212,1.5198,10.6195,11.0227,11.6179,11.3892,11.5173,10.8265,11.3981,11.0046,12.3056,0,0,0,3.294942562,21.7788,15,10,125,103.2212,21.7788,0.466666667,10.9802,1.8805,1.4773,0.8821,1.1108,0.9827,1.6735,1.1019,1.4954,0.1944,30.31398408
100,31,114.716,9.4668,11.3764,11.7216,11.8696,11.6358,11.8274,11.2377,11.6962,11.4317,12.4528,0,0,0,0.824794505,10.284,20,10,125,114.716,10.284,0.31,3.0332,1.1236,0.7784,0.6304,0.8642,0.6726,1.2623,0.8038,1.0683,0.0472,6.797316992
100,31,114.4523,9.8257,11.2628,11.6079,11.856,11.6221,11.5138,11.2241,11.6826,11.4181,12.4392,0,0,0,0.702365022,10.5477,20,10,125,114.4523,10.5477,0.31,2.6743,1.2372,0.8921,0.644,0.8779,0.9862,1.2759,0.8174,1.0819,0.0608,5.811205451
100,31,115.7898,10.4642,11.3738,11.619,11.967,11.8331,11.5249,11.4351,11.6936,11.4289,12.4502,0,0,0,0.530109814,9.2102,20,10,125,115.7898,9.2102,0.31,2.0358,1.1262,0.881,0.533,0.6669,0.9751,1.0649,0.8064,1.0711,0.0498,4.384716624
100,31,115.3752,10.4431,11.2528,11.6979,11.8459,11.711,11.5027,11.613,11.6726,11.4081,12.2281,0,0,0,0.489272828,9.6248,20,10,125,115.3752,9.6248,0.31,2.0569,1.2472,0.8021,0.6541,0.789,0.9973,0.887,0.8274,1.0919,0.2719,4.032934909
100,35,112.4894,7.2571,11.7298,11.0145,11.5536,12.0157,11.8264,10.9268,11.7254,11.7245,12.7156,0,0,0,1.552818624,12.5106,15,10,125,112.4894,12.5106,0.35,5.2429,0.7702,1.4855,0.9464,0.4843,0.6736,1.5732,0.7746,0.7755,0.2156,13.2331942
100,35,110.7638,6.375,10.6244,11.0156,11.5468,11.0264,11.3673,11.3657,12.3901,12.0358,13.0167,0,0,0,1.907599953,14.2362,15,10,125,110.7638,14.2362,0.35,6.125,1.8756,1.4844,0.9532,1.4736,1.1327,1.1343,0.1099,0.4642,0.5167,16.23805086
100,35,109.7458,7.1536,10.3571,11.2891,10.2686,11.5892,11.2891,11.4682,11.4689,11.8374,13.0246,0,0,0,1.622902622,15.2542,15,10,125,109.7458,15.2542,0.35,5.3464,2.1429,1.2109,2.2314,0.9108,1.2109,1.0318,1.0311,0.6626,0.5246,14.08028388
100,35,109.4529,6.2758,10.9157,11.0244,11.5289,11.0357,11.9445,10.9265,11.3766,11.398,13.0268,0,0,0,1.866594341,15.5471,15,10,125,109.4529,15.5471,0.35,6.2242,1.5843,1.4756,0.9711,1.4643,0.5555,1.5735,1.1234,1.102,0.5268,16.08115188
100,35,111.4894,7.1571,11.6298,10.9145,11.4536,11.9157,11.7264,10.8268,11.6254,11.6245,12.6156,0,0,0,1.552818624,13.5106,15,10,125,111.4894,13.5106,0.35,5.3429,0.8702,1.5855,1.0464,0.5843,0.7736,1.6732,0.8746,0.8755,0.1156,13.35188884
100,35,110.1964,6.8415,10.4678,11.2937,11.0145,11.2984,11.4798,11.4671,11.8386,11.5682,12.9268,0,0,0,1.689997149,14.8036,15,10,125,110.1964,14.8036,0.35,5.6585,2.0322,1.2063,1.4855,1.2016,1.0202,1.0329,0.6614,0.9318,0.4268,14.48642821
100,35,109.7187,7.1346,10.3564,11.2886,10.2675,11.5881,11.2883,11.4675,11.4677,11.8362,13.0238,0,0,0,1.628143636,15.2813,15,10,125,109.7187,15.2813,0.35,5.3654,2.1436,1.2114,2.2325,0.9119,1.2117,1.0325,1.0323,0.6638,0.5238,14.12907613
100,35,109.7968,7.1536,10.3571,11.2891,10.2686,11.5892,11.2991,11.4782,11.4789,11.8474,13.0356,0,0,0,1.626580274,15.2032,15,10,125,109.7968,15.2032,0.35,5.3464,2.1429,1.2109,2.2314,0.9108,1.2009,1.0218,1.0211,0.6526,0.5356,14.10274733
100,35,110.9264,7.2581,10.4932,11.4811,10.4836,11.6987,11.2831,11.5789,11.5798,11.9435,13.1264,0,0,0,1.616873344,14.0736,15,10,125,110.9264,14.0736,0.35,5.2419,2.0068,1.0189,2.0164,0.8013,1.2169,0.9211,0.9202,0.5565,0.6264,13.87590835
100,35,109.72,7.1345,10.3575,11.2883,10.2678,11.5885,11.2885,11.4678,11.4676,11.8361,13.0234,0,0,0,1.628045208,15.28,15,10,125,109.72,15.28,0.35,5.3655,2.1425,1.2117,2.2322,0.9115,1.2115,1.0322,1.0324,0.6639,0.5234,14.12819203
100,35,110.1264,7.3581,10.3932,11.3811,10.3836,11.5987,11.1831,11.4789,11.4798,11.8435,13.0264,0,0,0,1.558962429,14.8736,15,10,125,110.1264,14.8736,0.35,5.1419,2.1068,1.1189,2.1164,0.9013,1.3169,1.0211,1.0202,0.6565,0.5264,13.47686454
100,35,110.6207,7.2346,10.4578,11.3884,10.3679,11.5886,11.3878,11.5678,11.5679,11.9364,13.1235,0,0,0,1.628031855,14.3793,15,10,125,110.6207,14.3793,0.35,5.2654,2.0422,1.1116,2.1321,0.9114,1.1122,0.9322,0.9321,0.5636,0.6235,13.97597534
100,39,113.2716,10.1523,10.9627,11.508,11.6546,11.6215,11.6239,11.0439,11.4042,11.1397,12.1608,0,0,0,0.564329676,11.7284,14,10,125,113.2716,11.7284,0.39,2.3477,1.5373,0.992,0.8454,0.8785,0.8761,1.4561,1.0958,1.3603,0.3392,4.785077086
100,39,113.0716,10.1623,10.9727,11.518,11.5646,11.4315,11.6339,11.0539,11.4142,11.1497,12.1708,0,0,0,0.557292995,11.9284,14,10,125,113.0716,11.9284,0.39,2.3377,1.5273,0.982,0.9354,1.0685,0.8661,1.4461,1.0858,1.3503,0.3292,4.662833953
100,39,114.1702,10.5821,11.3926,11.5379,11.7845,11.6514,11.3538,11.0737,11.434,11.1695,12.1907,0,0,0,0.450449511,10.8298,14,10,125,114.1702,10.8298,0.39,1.9179,1.1074,0.9621,0.7155,0.8486,1.1462,1.4263,1.066,1.3305,0.3093,3.789069707
100,39,113.9216,10.4023,11.0127,11.558,11.7046,11.5715,11.7239,11.0939,11.4542,11.1897,12.2108,0,0,0,0.51954086,11.0784,14,10,125,113.9216,11.0784,0.39,2.0977,1.4873,0.942,0.7954,0.9285,0.7761,1.4061,1.0458,1.3103,0.2892,4.335124926
125,31,105.4889,10.9718,11.079,11.5832,10.917,9.7365,8.7298,8.8971,11.4156,9.5687,12.5902,0,0,0,1.299434714,19.5111,20,10,125,105.4889,19.5111,0.248,1.5282,1.421,0.9168,1.583,2.7635,3.7702,3.6029,1.0844,2.9313,0.0902,11.9247877
125,31,107.3716,10.0523,10.3627,10.708,10.9546,10.8215,10.7239,10.4439,10.8042,10.7397,11.7608,0,0,0,0.473696967,17.6284,20,10,125,107.3716,17.6284,0.248,2.4477,2.1373,1.792,1.5454,1.6785,1.7761,2.0561,1.6958,1.7603,0.7392,4.168587145
125,31,107.0733,10.0462,10.3453,10.6726,10.9186,10.8006,10.6898,10.4137,10.7657,10.6903,11.7305,0,0,0,0.467724946,17.9267,20,10,125,107.0733,17.9267,0.248,2.4538,2.1547,1.8274,1.5814,1.6994,1.8102,2.0863,1.7343,1.8097,0.7695,4.129800534
