,model_name,model_name_pretty,model_params,fit_time,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,lsvr,LinearSVR,"{'C': 1.0, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.0062503814697265625,-0.0751927611559331,1.7722835439135745,6.617675304145179,-0.07879817465833572,1.6814810962482993,6.156748752430781
1,svr,SVR,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.00504612922668457,-0.0677338262658127,1.788831396733241,6.594680955165166,-0.07011012530865779,1.6942086569709365,6.131907095682323
2,dumr,DummyRegressor,"{'constant': None, 'quantile': None, 'strategy': 'mean'}",0.0009996891021728516,0.0,3.022297917355372,6.382080661337247,-0.00022378066575945432,2.674293432282004,5.928296513918199
3,rr,Ridge,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",0.051367998123168945,0.0842601598150502,2.976969136556241,6.107287197338226,0.13559852375533687,2.7444993127443995,5.511110000552704
4,LR,LinearRegression,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0.006534576416015625,0.08427128715258236,2.9813073406167447,6.107250091792791,0.13643455183183595,2.747485622931229,5.508444250082307
5,KNR,KNeighborsRegressor,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.0009951591491699219,0.3767523882184144,2.0952283636363633,5.038399501501174,0.26971288991916575,2.135730612244898,5.065567970814208
6,CBR,CatBoostRegressor,{'loss_function': 'RMSE'},3.01472544670105,0.8261280670121951,0.8113762591294323,2.6611970293972043,0.3646284888906194,1.9065320341556706,4.7249280390208535
7,abr,AdaBoostRegressor,"{'base_estimator': 'deprecated', 'estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': None}",0.027045488357543945,0.4860559715223598,1.951550390201145,4.575306586489969,0.36752266628778285,1.8822185746737288,4.714154509092215
8,etr,ExtraTreesRegressor,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.21309375762939453,0.8358806006011171,0.5140785963636366,2.5854863442868083,0.3967912770509854,1.831406224489796,4.603786087704383
9,XGB,XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.14816045761108398,0.8359377136634222,0.510015214887145,2.5850364343669705,0.45745711178502013,1.5520185013051067,4.3661471365891
10,rfr,RandomForestRegressor,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.37464094161987305,0.7356057156453343,1.1836580721465928,3.281620227821241,0.5629564713529671,1.5235216344430218,3.918714975410915
11,gbr,GradientBoostingRegressor,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.15391087532043457,0.8163172908876806,0.892374205469552,2.735246222200907,0.6215968132429699,1.4783373430234015,3.646353102297494
12,DT,DecisionTreeRegressor,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",0.001986265182495117,0.8359410062789048,0.5035149090909092,2.585010494299078,0.6595573524543079,1.1824224489795918,3.4586236688389587
