,model_name,model_name_pretty,model_params,fit_time,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,lsvr,LinearSVR,"{'C': 1.0, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.0,-0.029420881728983383,3.529268370812296,4.639848500078958,-0.07418423116294726,4.02823373054456,4.709299362346108
1,dumr,DummyRegressor,"{'constant': None, 'quantile': None, 'strategy': 'mean'}",0.0,0.0,3.8203058916317203,4.573064358562719,-3.3497036371787914e-05,3.8747185303328995,4.543852090916455
2,rr,Ridge,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",0.018019437789916992,0.06683933590443591,3.7648767168506483,4.41759121032114,0.15333040407987453,3.5308249922403423,4.180939609715584
3,LR,LinearRegression,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0.0009975433349609375,0.06685456944133206,3.7647292505025174,4.417555152321735,0.1541651429310834,3.528191527724875,4.178878089276331
4,svr,SVR,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.0009963512420654297,0.27974516235558444,2.958064091858879,3.8810604337612227,0.5614797503332688,2.268298108192407,3.00892760484459
5,abr,AdaBoostRegressor,"{'base_estimator': 'deprecated', 'estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': None}",0.008982181549072266,0.3977299606674739,2.836695491557879,3.5489750241592883,0.61353009096792,2.2426961047744234,2.8247157716478952
6,DT,DecisionTreeRegressor,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",0.0009815692901611328,0.8300291981508194,0.6843680325914153,1.8853608084824685,0.644778227412666,1.8193098039215698,2.7081124944568025
7,etr,ExtraTreesRegressor,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.0716705322265625,0.8300291911309657,0.684412573131969,1.8853608474154993,0.6776797263981966,1.7255087145969488,2.5796496305854175
8,rfr,RandomForestRegressor,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.1341567039489746,0.7251680610771698,1.5950975260454938,2.3974022816613045,0.6896022742918639,1.7269121139407906,2.531489775225044
9,XGB,XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.06746983528137207,0.8296810631215928,0.7416847160689444,1.8872906234470483,0.6920591835276944,1.7849095043041086,2.5214510463359083
10,KNR,KNeighborsRegressor,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.0,0.35102098979627716,2.705810976010161,3.684025594699866,0.7262556092124066,1.935922222222223,2.3773303063637483
11,gbr,GradientBoostingRegressor,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.04035329818725586,0.7440062452529104,1.5664841644102472,2.3137796580908097,0.7338302475668985,1.67822790341873,2.3442086420958055
12,CBR,CatBoostRegressor,{'loss_function': 'RMSE'},0.8994402885437012,0.7633887684271432,1.4546173487938217,2.224462001392221,0.7368256466977039,1.6611838192361676,2.33098079057296
