,model_name,model_name_pretty,model_params,fit_time,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,lsvr,LinearSVR,"{'C': 1.0, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.004002571105957031,-0.07530578687468537,1.7723221117352064,6.618023124498392,-0.07891724064494987,1.6815184465102875,6.157088500474532
1,svr,SVR,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.0060045719146728516,-0.0677338262658127,1.788831396733241,6.594680955165166,-0.07011012530865779,1.6942086569709365,6.131907095682323
2,dumr,DummyRegressor,"{'constant': None, 'quantile': None, 'strategy': 'mean'}",0.0,0.0,3.022297917355372,6.382080661337247,-0.00022378066575945432,2.674293432282004,5.928296513918199
3,rr,Ridge,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",0.016500234603881836,0.0842601598150502,2.976969136556241,6.107287197338226,0.13559852375533687,2.7444993127443995,5.511110000552704
4,LR,LinearRegression,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0.0019850730895996094,0.08427128715258236,2.9813073406167447,6.107250091792791,0.13643455183183595,2.747485622931229,5.508444250082307
5,KNR,KNeighborsRegressor,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.0011591911315917969,0.3767523882184144,2.0952283636363633,5.038399501501174,0.26971288991916575,2.135730612244898,5.065567970814208
6,CBR,CatBoostRegressor,{'loss_function': 'RMSE'},1.109283685684204,0.8261280670121951,0.8113762591294323,2.6611970293972043,0.3646284888906194,1.9065320341556706,4.7249280390208535
7,abr,AdaBoostRegressor,"{'base_estimator': 'deprecated', 'estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': None}",0.004004001617431641,0.406402372635039,1.7765690215716488,4.917092372344382,0.42523558939892625,1.8137075838810102,4.493929592886738
8,etr,ExtraTreesRegressor,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.09555482864379883,0.835511890619816,0.535637141818182,2.5883889865362057,0.44286876112451645,1.7862806326530614,4.424458081160386
9,XGB,XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.07150983810424805,0.8359377136634222,0.510015214887145,2.5850364343669705,0.45745711178502013,1.5520185013051067,4.3661471365891
10,rfr,RandomForestRegressor,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.15223002433776855,0.7453971250333711,1.1793329318802972,3.2202822668980344,0.5260372766670238,1.570270251949062,4.080876225768851
11,gbr,GradientBoostingRegressor,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.04309344291687012,0.8176865798668325,0.883567176062885,2.7250320090291735,0.6038899334579846,1.5076339642726104,3.730690913028343
12,DT,DecisionTreeRegressor,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",0.001188516616821289,0.8359410062789048,0.5035149090909092,2.585010494299078,0.6599694400375307,1.170065306122449,3.4565297957013805
