,model_name,model_name_pretty,model_params,fit_time,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,dumr,DummyRegressor,"{'constant': None, 'quantile': None, 'strategy': 'mean'}",0.0020003318786621094,0.0,0.0517530865185185,0.06951484644961914,-0.5235809727895677,0.046777777866666655,0.06706517739464168
1,lsvr,LinearSVR,"{'C': 1.0, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.002994060516357422,0.6845871491208156,0.020631705950456436,0.03904066977218153,-0.16808178081122094,0.053091324487343626,0.05872201268806827
2,svr,SVR,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.0009918212890625,0.21721028682961607,0.046967594068816114,0.06150354130990244,-0.018734895862071888,0.04102908827730987,0.054839678354418185
3,LR,LinearRegression,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0.018013954162597656,0.7594032276026152,0.025767835346782418,0.034097494365372835,0.20777433504680975,0.04011132866825336,0.048360274950629896
4,rr,Ridge,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",0.07216024398803711,0.7378858835405553,0.027921293209431357,0.03558957266253784,0.32347505158271694,0.03627709850343423,0.04468957411603788
5,CBR,CatBoostRegressor,{'loss_function': 'RMSE'},0.8597924709320068,0.9999878991131991,0.00018623206947066356,0.00024181663137776632,0.7157808728501102,0.02043100736094483,0.028966162196925563
6,KNR,KNeighborsRegressor,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.004023551940917969,0.8158064210169601,0.017410370391111114,0.02983422845924161,0.7367817462450206,0.022883333350000014,0.027875477104038572
7,XGB,XGBRegressor,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.12166404724121094,0.9999634435162521,0.0002708139172765128,0.0004203003731926911,0.8871902967307885,0.010175147239253994,0.018248935489624037
8,rfr,RandomForestRegressor,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.09084701538085938,0.9496053641586004,0.00961674075377789,0.015605213811365402,0.9229655331193511,0.011955000011250147,0.015080191208801087
9,gbr,GradientBoostingRegressor,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.0361783504486084,0.9999519708035347,0.0003714081297928372,0.00048175943434067227,0.9241744466049403,0.010977512791187478,0.014961395440403334
